Local authority code,Local authority name,deprivation_average_score
E09000001,City of London,13.6
E09000002,Barking and Dagenham,34.6
E09000003,Barnet,17.8
E09000004,Bexley,16.2
E09000005,Brent,26.7
E09000006,Bromley,15.2
E09000007,Camden,25.0
E09000008,Croydon,23.6
E09000009,Ealing,23.6
E09000010,Enfield,27.0
E09000011,Greenwich,25.5
E09000012,Hackney,35.3
E09000013,Hammersmith and Fulham,24.4
E09000014,Haringey,31.0
E09000015,Harrow,14.3
E09000016,Havering,17.9
E09000017,Hillingdon,18.1
E09000018,Hounslow,22.5
E09000019,Islington,32.5
E09000020,Kensington and Chelsea,23.4
E09000021,Kingston upon Thames,11.1
E09000022,Lambeth,28.9
E09000023,Lewisham,28.6
E09000024,Merton,14.9
E09000025,Newham,32.9
E09000026,Redbridge,20.2
E09000027,Richmond upon Thames,10.0
E09000028,Southwark,29.5
E09000029,Sutton,14.6
E09000030,Tower Hamlets,35.7
E09000031,Waltham Forest,30.2
E09000032,Wandsworth,18.3
E09000033,Westminster,27.7
