code,name,altname,label,x,y
E05004934,"Longfield, New Barn and Southfleet",,E05004934,561009.099617215,170333.796081713
E05000448,Lewisham Central,,E05000448,538383.835308275,174881.876440044
E05003948,East Saltdean and Telscombe Cliffs,,E05003948,539905.307642505,102504.63043973
E05003149,Hawcoat,,E05003149,320963.253712648,472702.116825976
E05004639,Dun Valley,,E05004639,429245.180486873,128402.62718462
E05006555,Iffley Fields,,E05006555,452752.066493441,204829.436150633
E05001673,Ings,,E05001673,513046.649470415,432409.046513603
E05005279,Larches,,E05005279,350535.02549136,430521.582559964
E05001649,Greenlands,,E05001649,332276.240255491,438821.298789495
E05005320,Greenfield,,E05005320,379138.543311535,421976.012286686
E05001294,Olton,,E05001294,413065.765861646,281452.36534752
E05008174,Much Wenlock,,E05008174,362136.563545182,297472.080399821
E05004733,Little Hadham,,E05004733,544083.424702435,224908.001618901
E05000897,Fazakerley,,E05000897,338241.092761863,396877.882257136
E05000096,Northwick Park,,E05000096,516673.562671533,186911.640740692
E05007629,Westbourne,,E05007629,476832.46653472,108096.799888534
E05001659,Talbot,,E05001659,330823.537623611,435994.333999634
E05005420,North Whetstone,,E05005420,455624.963075721,297495.027970939
E05006792,Wells St Thomas',,E05006792,355384.315038363,146308.986398222
E05000270,Fortis Green,,E05000270,527969.516383389,189786.506627649
E05003191,Gosforth,,E05003191,312306.921552142,506561.687330744
E05004721,Braughing,,E05004721,540865.985287712,229034.471447457
E05002152,Eastcott,,E05002152,415073.590523418,184237.668369617
E05006908,Hagley,,E05006908,403869.188407034,317051.71542366
E05000029,Chadwell Heath,,E05000029,548359.970925506,189491.108504236
E05000828,Flixton,,E05000828,374718.085380711,394175.957199428
E05005128,West Malling and Leybourne,,E05005128,568048.151278233,157907.127884481
E05005929,East,,E05005929,490058.970439365,290079.537831546
E05000600,Higham Hill,,E05000600,536035.386764934,190581.832812251
E05003279,Windermere Town,,E05003279,342357.564453409,497791.345713958
E05003990,Crowborough East,,E05003990,552385.258520473,129412.217180595
E05000272,Highgate,,E05000272,528111.289204681,188047.336677444
E05000575,Blackwall and Cubitt Town,,E05000575,538463.895543256,179783.134594427
E05000728,Medlock Vale,,E05000728,392774.891082086,402401.393724844
E05000416,Bishop's,,E05000416,530953.557518386,179747.540433375
E05006387,Harworth,,E05006387,462786.622425696,391846.682805273
E05005655,Spalding St John's,,E05005655,524185.399553582,322050.520284832
E05007677,Copthorne and Worth,,E05007677,531506.602409655,137559.213458378
E05004703,Gadebridge,,E05004703,504352.27681427,208460.181524476
E05007840,Tardebigge,,E05007840,399878.49352655,268727.285647415
