Code,New code,Area name,Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",% of largest migrant population (2011),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Employment rate (%) (2015),Male employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,Modelled Household median income estimates 2012/13,% of employment that is in public sector (2014),Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,E09000002,Barking and Dagenham,57.9,32.9,27.2,63.1,9.7,4.7,18.7,"7,538",59.1,65.8,75.6,11,4.5,10.5,11.3,32.2,"£29,420",21.1,73.0,83.4,13.7,243500,1354.03,730,16.4,27.4,35.9,20.3,33.6,644,23.4,56966,0.8,8.8,58.0,69,41.7,18.7,77.6,82.1,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000003,E09000003,Barnet,44.9,37.3,21.1,64.9,14,3.1,23.4,"13,094",53.1,68.5,74.5,8.5,1.9,6.2,5.2,49,"£40,530",18.7,73.8,62.7,11.1,445000,1397.07,1460,32.4,25.2,11.1,31.1,41.3,1415,38,144717,1.1,7.4,67.3,35,46.0,9.3,82.1,85.1,12.8,7.5,7.8,7.4,2.8,20.7,6.0,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000004,E09000004,Bexley,40.3,39,20.6,62.9,16.6,2.6,6.0,"2,198",14.4,75.1,82.1,7.6,2.9,6.8,10.8,33.5,"£36,990",15.9,73.5,51.8,11.8,275000,1472.43,-130,38.1,35.3,15.2,11.4,31.7,975,54,108507,1.2,10.6,60.3,46,32.6,12.6,80.4,84.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000005,E09000005,Brent,76.8,35.6,20.9,67.8,11.3,9.2,37.2,"22,162",100.9,69.5,76,7.5,3.1,8.3,6.2,45.1,"£32,140",17.6,74.4,78.8,12.1,407250,1377.24,1050,22.2,22.6,20.4,34.8,21.9,1175,35.2,87802,0.8,7.9,60.1,45,37.6,13.7,80.1,85.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000006,E09000006,Bromley,21.8,40.2,19.9,62.6,17.5,1.1,5.8,"2,924",14.4,75.3,80.4,5.3,2.5,6.0,4.3,46.7,"£43,060",13.9,78.6,64.1,11.2,374975,1347.27,700,37.8,34.9,13.2,14.1,57.8,1180,48,153908,1.2,13.0,68.0,40,38.9,10.2,81.4,84.9,16.7,7.5,7.9,7.4,3.3,16.0,5.2,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000007,E09000007,Camden,111.3,36.4,17.3,71,11.7,2.8,23.5,"10,384",60.7,69.2,72.2,4,3.6,8.5,6.1,61.1,"£43,750",12.4,73.6,123.5,14.8,700000,1359.66,970,18.5,15.1,34.4,32.0,24.8,1288,26.3,46601,0.5,18.8,62.7,41,25.2,16.5,81.8,86.7,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000008,E09000008,Croydon,44.7,37,22,64.9,13,3.6,14.5,"7,946",32.3,75.4,81.8,4.1,4.8,7.8,7,40.6,"£37,000",20.1,75.3,77.0,12.8,300000,1494.13,2040,30.8,33.6,16.7,18.6,37.1,1237,39.9,140049,1.0,12.8,57.7,86,36.7,14.1,80.3,83.6,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000009,E09000009,Ealing,63.3,36.2,21.4,66.8,11.8,7.6,33.9,"14,927",65.2,72.7,81.2,5.8,3.0,7.9,9.1,49.7,"£36,070",13.6,75.8,75.5,11.3,430000,1335.93,720,20.1,30.2,14.3,35.0,30.9,1342,40.1,112845,0.9,15.0,62.1,46,43.6,13.1,80.6,84.2,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,E09000010,Enfield,41.2,36.3,22.8,64.4,12.8,4.5,22.9,"9,259",43.8,73,80.4,3.8,3.3,9.3,4.5,43.4,"£33,110",21.7,74.2,69.4,12.2,320000,1420.17,670,25.6,36.2,17.2,21.0,45.6,1245,38.5,119653,1.0,7.9,59.9,43,55.3,17.4,80.7,84.1,24.6,7.3,7.6,7.3,2.6,25.2,7.0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
