Region code,Region name,Local authority code,Local authority name,Christian,No religion: Total,Muslim (Islam),Religion not stated,Hindu,Jewish,Sikh,Buddhist,Other religion: Total
E12000007,LONDON,E09000007,Camden,74821,56113,26643,45276,3141,9823,465,2789,1267
E12000007,LONDON,E09000001,City of London,3344,2522,409,651,145,166,18,92,28
E12000007,LONDON,E09000012,Hackney,95131,69454,34727,23646,1577,15477,1872,3075,1311
E12000007,LONDON,E09000013,Hammersmith and Fulham,98808,43487,18242,15339,2097,1161,442,2060,857
E12000007,LONDON,E09000014,Haringey,114659,64202,36130,22813,4539,7643,808,2829,1303
E12000007,LONDON,E09000019,Islington,82879,61911,19521,34138,2108,1915,569,2117,967
E12000007,LONDON,E09000020,Kensington and Chelsea,86005,32669,15812,15969,1386,3320,263,2447,778
E12000007,LONDON,E09000022,Lambeth,160944,84803,21500,26501,3119,1134,440,2963,1682
E12000007,LONDON,E09000023,Lewisham,145588,75155,17759,24505,6562,643,531,3664,1478
E12000007,LONDON,E09000025,Newham,123119,29373,98456,19775,26962,342,6421,2446,1090
E12000007,LONDON,E09000028,Southwark,151462,77098,24551,24611,3668,1006,653,3884,1350
E12000007,LONDON,E09000030,Tower Hamlets,68808,48648,87696,39089,4200,1283,821,2726,825
E12000007,LONDON,E09000032,Wandsworth,162590,82740,24746,24117,6496,1617,832,2574,1283
E12000007,LONDON,E09000033,Westminster,97877,44542,40073,20519,4178,7237,496,3194,1280
E12000007,LONDON,E09000002,Barking and Dagenham,104101,35106,25520,11968,4464,425,2952,842,533
E12000007,LONDON,E09000003,Barnet,146866,57297,36744,29917,21924,54084,1269,4521,3764
E12000007,LONDON,E09000004,Bexley,144093,55995,5645,16226,3547,234,4156,1377,724
E12000007,LONDON,E09000005,Brent,129080,33054,58036,21462,55449,4357,1709,4300,3768
E12000007,LONDON,E09000006,Bromley,187656,80303,7841,24194,4987,957,736,1580,1138
E12000007,LONDON,E09000008,Croydon,205022,72654,29513,27757,21739,709,1450,2381,2153
E12000007,LONDON,E09000009,Ealing,148055,50848,53198,23309,28915,1131,26778,4228,1987
E12000007,LONDON,E09000010,Enfield,167417,48522,52141,24195,10927,4412,1078,1824,1950
E12000007,LONDON,E09000011,Greenwich,134632,65034,17349,19237,9087,492,3490,4223,1013
E12000007,LONDON,E09000015,Harrow,89181,22871,29881,14781,60407,10538,2752,2700,5945
E12000007,LONDON,E09000016,Havering,155597,53549,4829,15799,2963,1159,1928,760,648
E12000007,LONDON,E09000017,Hillingdon,134813,46492,29065,17495,22033,1753,18230,2386,1669
E12000007,LONDON,E09000018,Hounslow,106660,40351,35666,16462,26261,651,22749,3617,1540
E12000007,LONDON,E09000021,Kingston upon Thames,84684,41183,9474,12633,7502,775,1236,1771,802
E12000007,LONDON,E09000024,Merton,111993,41231,16262,14021,12203,791,498,1884,810
E12000007,LONDON,E09000026,Redbridge,102755,30691,64999,18048,31699,10213,17377,1840,1348
E12000007,LONDON,E09000027,Richmond upon Thames,103319,53195,6128,15840,3051,1409,1581,1577,890
E12000007,LONDON,E09000029,Sutton,111086,46817,7726,13504,8038,486,325,1368,796
E12000007,LONDON,E09000031,Waltham Forest,124939,46462,56541,18942,5917,1259,1209,1987,993
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
